Source:;C:\Users\ASHIK\OneDrive - University of Cape Town\Course\2023\EEE3088F\Power Submodule design\Power module\Power module.sch;;;;;;;
Date:;2023/03/06 09:27;;;;;;;
Tool:;Eeschema (5.1.10)-1;;;;;;;
Generator:;C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py;;;;;;;
Component Count:;12;;;;;;;
;;;;;;;;
Individual Components:;;;;;;;;
;;;;;;;;
Item;Qty;Reference(s);Value;LibPart;Footprint;Datasheet;Price (USD);Price (ZAR)
1;1;BT1;Battery_Cell;Device:Battery_Cell;;~;;
2;1;C1;4.7u;Device:C_Small;CL10A475KO8NNNC;~;0,01;0,1819
3;1;C2;4.7u;Device:C_Small;CL10A475KO8NNNC;~;0,01;0,1819
4;1;C3;10uF;Device:C_Small;CL31A106KBHNNNE;~;0,03;0,5457
5;1;C4;1uF;Device:C_Small;CL05A105KP5NNNC;~;0,01;0,1819
6;1;CG1;MCP73831T-2ACI/OT;MCP73831-2-OT;Package_TO_SOT_SMD:SOT-23-5;http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf;0,7664;13,940816
7;1;D1;1N5819;Diode:1N5819;Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal;http://www.vishay.com/docs/88525/1n5817.pdf;0,0167;0,303773
8;1;Q2;SI2305DS-T1-GE3;Transistor_FET:Si2371EDS;Package_TO_SOT_SMD:SOT-23;http://www.vishay.com/docs/63924/si2371eds.pdf;0,072;1,30968
9;1;R1;2k;Device:R_Small_US;;~;0,001;0,01819
10;1;R2;47k;Device:R_Small_US;;~;0,001;0,01819
11;1;R3;1.5k;Device:R_Small_US;;~;0,001;0,01819
12;1;U2;LM1117-3.3;Regulator_Linear:LM1117-3.3;;http://www.ti.com/lit/ds/symlink/lm1117.pdf;0,146;2,65574
;;;;Total:;;;1,064;19,35416
;;;;;;;;
;;;;;;;;
Collated Components:;;;;;;;;
;;;;;;;;
Item;Qty;Reference(s);Value;LibPart;Footprint;Datasheet;Price;
1;1;BT1;Battery_Cell;Device:Battery_Cell;;~;;
2;2;C1, C2;4.7u;Device:C_Small;CL10A475KO8NNNC;~;0.01;
3;1;C3;10uF;Device:C_Small;CL31A106KBHNNNE;~;0.03;
4;1;C4;1uF;Device:C_Small;CL05A105KP5NNNC;~;0.01;
5;1;CG1;MCP73831T-2ACI/OT;MCP73831-2-OT;Package_TO_SOT_SMD:SOT-23-5;http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf;0.7664;
6;1;D1;1N5819;Diode:1N5819;Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal;http://www.vishay.com/docs/88525/1n5817.pdf;0.0167;
7;1;Q2;SI2305DS-T1-GE3;Transistor_FET:Si2371EDS;Package_TO_SOT_SMD:SOT-23;http://www.vishay.com/docs/63924/si2371eds.pdf;"	0.072";
8;1;R1;2k;Device:R_Small_US;;~;0.001;
9;1;R2;47k;Device:R_Small_US;;~;0.001;
10;1;R3;1.5k;Device:R_Small_US;;~;0.001;
11;1;U2;LM1117-3.3;Regulator_Linear:LM1117-3.3;;http://www.ti.com/lit/ds/symlink/lm1117.pdf;0.146;
