Designator,Footprint,Quantity,Value,LCSC Part #
BT1,18650_Holder_SMD,1,Battery_Cell,
"C1, C13, C2, C3, C4",1206,5,100nF,C24497
"C10, C11, C8, C9",1206,4,10uF,C13585
C5,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,20pF,C123152
"D1, D2, D3",LED_D3.0mm_IRBlack,3,LED,C54142
"D4, D6",Schottky Diode,2,Schottky - 0.21@1A,C413465
D5,0805,1,LED,C2296
IC1,SOT-563,1,TTP223E-BA6,C1693666
J1,MICROXNJ,1,USB_B_Micro,C404969
J2,SOIC127P600X175-8N,1,TP4056,C382139
"J3, J4, J5",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03_Pin,
LEDcharge1,0603,1,RED,C2286
P1,Touch Pad,1,Touch Pad,
"Q1, Q2, Q3",SOT-23,3,SI2301CDS,C10487
Q4,SOT-23,1,2N7002,C8545
"Qrevpol1, Qrevpol2",Si2323,2,PMOS,C10487
"R1, R2, R3",0805,3,270R,C17590
R10,1206,1,1k,C4410
R11,0201,1,180,C22828
R12,R_LDR_5.0x4.1mm_P3mm_Vertical,1,LDR03,C125627
R13,1206,1,2k,C17944
R14,0805,1,1M,C17514
"R15, R16, R17, R4, R5, R7",1206,6,0,C17888
R18,0805,1,10M,C26108
R19,0402,1,150k,C25755
R20,0805,1,2.05M,C784207
R21,0805,1,100k,0805
"R22, R8",0603,2,2M,C22976
R23,0201,1,150R,C22808
R6,RESC2013X65N,1,4700,C23162
R9,1206,1,2.5M,C508414
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP19, TP2, TP20, TP21, TP22, TP23, TP3, TP4, TP5_2, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.0mm,22,TestPoint,
TP17,TestPoint_Keystone_5005-5009_Compact,1,TestPoint,
TP18,TestPoint_Pad_D2.5mm,1,TestPoint,
U1,SOT-23-3,1,XC6206P332MR,C5446
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U3,SOIC127P600X175-8N,1,AT24C256C,C6482
U5,SOIC127P600X175-8N,1,NE5532,C7426
U6,SOT-23,1,CJ432,C8499
