Designator,Mid X,Mid Y,Rotation,Layer
BT1,101.768,-65.135,180.0,top
C1,115.652,-125.969,270.0,top
C10,70.948,-95.235,90.0,top
C11,73.488,-95.235,270.0,top
C13,108.1786,-94.1596,270.0,top
C2,96.52,-132.588,180.0,top
C3,95.332,-110.236,180.0,top
C4,137.952,-122.954,180.0,top
C5,117.136,-94.727,180.0,top
C8,73.279,-146.444,270.0,top
C9,73.3044,-141.6322,90.0,top
D1,143.338,-140.701,180.0,top
D2,134.448,-140.701,180.0,top
D3,138.258,-145.781,270.0,top
D4,55.88,-104.14,270.0,top
D5,113.6119,-98.679,0.0,top
D6,54.1782,-89.0016,270.0,top
IC1,114.628,-85.825,90.0,top
J1,53.168,-123.175,90.0,top
J2,70.948,-90.155,0.0,top
J3,147.656,-104.379,0.0,top
J4,53.676,-136.891,180.0,top
J5,54.0004,-75.0316,0.0,top
LEDcharge1,58.248,-85.075,270.0,top
P1,137.16,-86.868,0.0,top
Q1,110.064,-104.887,0.0,top
Q2,85.68,-103.871,0.0,top
Q3,115.7305,-104.887,0.0,top
Q4,121.6695,-104.821,0.0,top
Qrevpol1,83.648,-85.075,90.0,top
Qrevpol2,65.648,-140.16,0.0,top
R1,131.908,-134.351,270.0,top
R10,71.898,-85.075,180.0,top
R11,66.64,-105.232,90.0,top
R12,63.572,-104.887,180.0,top
R13,65.868,-90.155,270.0,top
R14,89.932,-102.855,0.0,top
R15,78.568,-87.615,0.0,top
R16,67.138,-145.24,0.0,top
R17,73.168,-137.62,0.0,top
R18,83.14,-78.662,90.0,top
R19,86.696,-78.662,90.0,top
R2,136.988,-134.351,270.0,top
R20,89.744,-78.662,90.0,top
R21,92.792,-78.791,90.0,top
R22,95.84,-78.788,90.0,top
R23,116.988,-98.283,0.0,top
R3,134.448,-134.351,270.0,top
R4,78.568,-85.075,0.0,top
R5,68.408,-95.235,90.0,top
R6,128.352,-127.239,0.0,top
R7,64.598,-135.08,270.0,top
R8,90.252,-83.043,0.0,top
R9,90.252,-86.091,0.0,top
TP17,101.936,-91.171,0.0,top
U1,79.838,-142.7,0.0,top
U2,89.047,-121.524,180.0,top
U3,126.447,-120.729,270.0,top
U4,103.032,-123.669,0.0,top
U5,91.268,-97.775,0.0,top
U6,89.8225,-90.663,0.0,top
